num_expediente,fecha,wikidata_fecha,hora,localizacion,numero,cod_distrito,distrito,wikidata_distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,wikidata_tipo_vehiculo,tipo_persona,wikidata_tipo_persona,rango_edad,sexo,wikidata_sexo,cod_lesividad,lesividad,longitud,latitud,positiva_alcohol,positiva_droga
2024S001577,"January 15, 2024",https://wikidata.org/entity/Q69307046,11:25:00,CALL. NECTAR / CALL. SAN MARIANO,22,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Colisión fronto-lateral,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 25 a 29 años,female,https://wikidata.org/entity/Q6581072,7,Asistencia sanitaria sólo en el lugar del accidente,-3.61217907214,40.44212890586858,false,false
2024S001589,"January 16, 2024",https://wikidata.org/entity/Q69307047,14:44:00,"CALL. ALBERTO AGUILERA, 10",10,7,Chamberí,https://wikidata.org/entity/Q1763370,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 55 a 59 años,male,https://wikidata.org/entity/Q6581097,3,Ingreso superior a 24 horas,-3.70701765605,40.42977695914306,false,false
2024S001613,"January 16, 2024",https://wikidata.org/entity/Q69307047,18:28:00,"CMNO. ZARZON, 6",6,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Caída,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 10 a 14 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.76077852794,40.40903024469599,false,false
2024S001750,"January 18, 2024",https://wikidata.org/entity/Q69307049,20:15:00,"CALL. FERRAZ, 24",24,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Alcance,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.71637619138,40.42513375457143,false,false
2024S001791,"January 19, 2024",https://wikidata.org/entity/Q69307050,8:30:00,"PLAZA. VILLA, 1",1,1,Centro,https://wikidata.org/entity/Q1763376,Caída,LLuvia intensa,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,1,Atención en urgencias sin posterior ingreso,-3.71052173427,40.415467152591994,false,false
2024S001803,"January 19, 2024",https://wikidata.org/entity/Q69307050,15:20:00,CALL. JORGE JUAN / CALL. ALCALA,64,4,Salamanca,https://wikidata.org/entity/Q1773521,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 45 a 49 años,female,https://wikidata.org/entity/Q6581072,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.67818868137,40.423481185092214,false,false
2024S001811,"January 19, 2024",https://wikidata.org/entity/Q69307050,15:20:00,"CALL. BOLIVAR, 22A",22A,2,Arganzuela,https://wikidata.org/entity/Q2000929,Caída,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 25 a 29 años,female,https://wikidata.org/entity/Q6581072,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.69137960376,40.392384860411646,false,false
2024S001811,"January 19, 2024",https://wikidata.org/entity/Q69307050,15:20:00,"CALL. BOLIVAR, 22A",22A,2,Arganzuela,https://wikidata.org/entity/Q2000929,Caída,Lluvia débil,bicycle,https://wikidata.org/entity/Q11442,pedestrian,https://wikidata.org/entity/Q221488,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.69137960376,40.392384860411646,false,false
2024S002228,"January 21, 2024",https://wikidata.org/entity/Q69307052,15:50:00,"CALL. VERSALLES, 157A",157A,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Colisión fronto-lateral,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 55 a 59 años,male,https://wikidata.org/entity/Q6581097,3,Ingreso superior a 24 horas,-3.61188004532,40.418247501379376,false,false
2024S002428,"January 23, 2024",https://wikidata.org/entity/Q69307054,17:30:00,"CALL. NADOR, 23",23,6,Tetuán,https://wikidata.org/entity/Q1773540,Colisión lateral,Desconocido,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 10 a 14 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.69526616451,40.47348778389407,false,false
2024S002432,"January 23, 2024",https://wikidata.org/entity/Q69307054,18:50:00,CALL. CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN / CALL. CARAMUEL,1,10,Latina,https://wikidata.org/entity/Q794954,Caída,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 45 a 49 años,female,https://wikidata.org/entity/Q6581072,2,Ingreso inferior o igual a 24 horas,-3.72979311079,40.403473192582744,false,false
2024S002437,"January 23, 2024",https://wikidata.org/entity/Q69307054,18:50:00,"CALL. VALMOJADO, 45",45,10,Latina,https://wikidata.org/entity/Q794954,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 15 a 17 años,male,https://wikidata.org/entity/Q6581097,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.75815088752,40.39752493537569,false,false
2024S002481,"January 23, 2024",https://wikidata.org/entity/Q69307054,7:40:00,PASEO. CAMOENS Y VALERO / PASEO. RUPERTO CHAPI,4,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Colisión fronto-lateral,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 50 a 54 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.72700720457,40.43259892905161,false,false
2024S002516,"January 24, 2024",https://wikidata.org/entity/Q69307055,11:50:00,CALL. ALCALA / IDB. PUENTE DE VENTAS,206,4,Salamanca,https://wikidata.org/entity/Q1773521,Alcance,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 18 a 20 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.66125381395,40.431182914391634,false,false
2024S002718,"January 25, 2024",https://wikidata.org/entity/Q69307056,16:30:00,AVDA. COMPLUTENSE / CALL. JOSE ANTONIO NOVAIS,6,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Choque contra obstáculo fijo,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,1,Atención en urgencias sin posterior ingreso,-3.72740908332,40.44582161373752,false,false
2024S002783,"January 26, 2024",https://wikidata.org/entity/Q69307057,12:05:00,"CALL. PARQUE EUGENIA DE MONTIJO, 18",18,11,Carabanchel,https://wikidata.org/entity/Q1001991,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 65 a 69 años,male,https://wikidata.org/entity/Q6581097,2,Ingreso inferior o igual a 24 horas,-3.75353588705,40.37887029131527,false,false
2024S002783,"January 26, 2024",https://wikidata.org/entity/Q69307057,12:05:00,"CALL. PARQUE EUGENIA DE MONTIJO, 18",18,11,Carabanchel,https://wikidata.org/entity/Q1001991,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),,pedestrian,https://wikidata.org/entity/Q221488,De 60 a 64 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.75353588705,40.37887029131527,false,false
2024S002795,"January 26, 2024",https://wikidata.org/entity/Q69307057,15:00:00,CALL. ARTURO SORIA / CALL. BUESO PINEDA,143,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 45 a 49 años,female,https://wikidata.org/entity/Q6581072,7,Asistencia sanitaria sólo en el lugar del accidente,-3.65511055222,40.454163856015995,false,false
2024S002805,"January 26, 2024",https://wikidata.org/entity/Q69307057,16:00:00,"AVDA. MORERAS, 3",3,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Alcance,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 40 a 44 años,male,https://wikidata.org/entity/Q6581097,2,Ingreso inferior o igual a 24 horas,-3.72014601554,40.45031752978024,false,false
2024S002805,"January 26, 2024",https://wikidata.org/entity/Q69307057,16:00:00,"AVDA. MORERAS, 3",3,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Alcance,Despejado,bicycle,https://wikidata.org/entity/Q11442,Pasajero,https://wikidata.org/entity/Q23640580,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.72014601554,40.45031752978024,false,false
2024S002805,"January 26, 2024",https://wikidata.org/entity/Q69307057,16:00:00,"AVDA. MORERAS, 3",3,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Alcance,Despejado,bicycle,https://wikidata.org/entity/Q11442,pedestrian,https://wikidata.org/entity/Q221488,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.72014601554,40.45031752978024,false,false
2024S002805,"January 26, 2024",https://wikidata.org/entity/Q69307057,16:00:00,"AVDA. MORERAS, 3",3,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Alcance,Despejado,bicycle,https://wikidata.org/entity/Q11442,pedestrian,https://wikidata.org/entity/Q221488,De 30 a 34 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.72014601554,40.45031752978024,false,false
2024S003148,"January 28, 2024",https://wikidata.org/entity/Q69307059,0:00:00,"PASEO. PRADO, 48",48,1,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 25 a 29 años,male,https://wikidata.org/entity/Q6581097,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.69231174175,40.40976678874476,false,false
2024S003233,"January 28, 2024",https://wikidata.org/entity/Q69307059,2:30:00,"CALL. LUCHANA, 21",21,7,Chamberí,https://wikidata.org/entity/Q1763370,Alcance,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 35 a 39 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70039813435,40.43035779365854,false,false
2024S003434,"January 29, 2024",https://wikidata.org/entity/Q69307060,14:30:00,"CALL. GENERAL RICARDOS, 104",104,11,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),,Conductor,https://wikidata.org/entity/Q23640580,De 15 a 17 años,male,https://wikidata.org/entity/Q6581097,5,Asistencia sanitaria ambulatoria con posterioridad,-3.72519876888,40.39264617702739,false,false
2024S003457,"January 29, 2024",https://wikidata.org/entity/Q69307060,20:17:00,CALL. ELOY GONZALO / CALL. TRAFALGAR,17,7,Chamberí,https://wikidata.org/entity/Q1763370,Alcance,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 55 a 59 años,male,https://wikidata.org/entity/Q6581097,14,Sin asistencia sanitaria,-3.70132355122,40.43432516089745,false,false
2024S003464,"January 29, 2024",https://wikidata.org/entity/Q69307060,20:42:00,"CALL. EMBAJADORES, 86",86,2,Arganzuela,https://wikidata.org/entity/Q2000929,Caída,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 45 a 49 años,male,https://wikidata.org/entity/Q6581097,7,Asistencia sanitaria sólo en el lugar del accidente,-3.70139134685,40.40339671531661,false,false
2024S003525,"January 30, 2024",https://wikidata.org/entity/Q69307061,17:06:00,CTRA. ALCOBENDAS A BARAJAS / CALL. CONCORDIA,14,21,Barajas,https://wikidata.org/entity/Q807230,Colisión fronto-lateral,Despejado,bicycle,https://wikidata.org/entity/Q11442,Conductor,https://wikidata.org/entity/Q23640580,De 21 a 24 años,male,https://wikidata.org/entity/Q6581097,6,Asistencia sanitaria inmediata en centro de salud o mutua,-3.59921757708,40.49358411752664,false,false
